20170706 10:35:00,292174,292530,292170,292531
20170706 10:40:00,292550,292820,292459,292700
20170706 10:45:00,292700,292820,292399,292820
20170706 10:50:00,292820,292867,292700,292651
20170706 10:55:00,292651,293180,292523,293180
20170706 11:00:00,293180,293241,292821,292821
20170706 11:05:00,292821,293250,292800,293180
20170706 11:10:00,292950,293150,292939,293140
20170706 11:15:00,293150,293200,292937,293199
20170706 11:20:00,293199,293430,293100,293202
20170706 11:25:00,293202,293479,293185,293357
20170706 11:30:00,293424,293500,293202,293499
20170706 11:35:00,293500,293760,293202,293701
20170706 11:40:00,293603,293901,293555,293901
20170706 11:45:00,293901,294050,293499,293650
20170706 11:50:00,293650,293800,293500,293614
20170706 11:55:00,293615,293700,293485,293650
20170706 12:00:00,293650,294015,293486,294011
20170706 12:05:00,294011,294300,293840,294300
20170706 12:10:00,294358,294359,294000,294001
20170706 12:15:00,294001,294001,293630,293681
20170706 12:20:00,293699,293900,293615,293737
20170706 12:25:00,293736,294500,293704,294100
20170706 12:30:00,294042,294303,293801,293860
20170706 12:35:00,293840,294200,293840,294100
20170706 12:40:00,294230,294230,293866,293867
20170706 12:45:00,293867,294117,293700,294020
20170706 12:50:00,293920,294104,293700,293802
20170706 12:55:00,293801,294300,293798,294299
20170706 13:00:00,294300,294300,294100,294121
20170706 13:05:00,294134,294295,294080,294230
20170706 13:10:00,294230,294300,293907,293990
20170706 13:15:00,293999,294000,293747,293989
20170706 13:20:00,293959,294052,293707,293987
20170706 13:25:00,293987,294075,293710,293802
20170706 13:30:00,293802,293848,293300,293638
20170706 13:35:00,293470,293665,292711,292928
20170706 13:40:00,292929,293300,292829,293203
20170706 13:45:00,293203,293412,293142,293305
20170706 13:50:00,293423,293423,293025,293025
20170706 13:55:00,293001,293264,292929,292940
20170706 14:00:00,292940,293247,292940,292955
20170706 14:05:00,292955,293400,292941,292990
20170706 14:10:00,292953,293282,292850,293215
20170706 14:15:00,293123,293299,292523,292871
20170706 14:20:00,292871,293000,292581,292581
20170706 14:25:00,292581,292687,292160,292488
20170706 14:30:00,292488,293060,292488,293000
20170706 14:35:00,293000,293430,292990,293062
